id,name,image,affinity,skill,description,dlc
aow-102,Ash of War: Shield Crash,/items/ashes/aow-102.png,Standard,Shield Crash,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Shield Crash: Two-hand the shield and charge forwards while maintaining guard. Weaker enemies will be shoved backwards and can even be staggered. Hold to extend the duration of the charge forwards."" Usable on all shields.",0
aow-103,Ash of War: Through and Through,/items/ashes/aow-103.png,Standard,Through and Through,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Through and Through: Powerful archery skill using a greatbow held in an oblique stance. Ready the greatbow, then twist the bowstring to fire a mighty greatarrow that can penetrate through enemies."" Usable on greatbows.",0
aow-104,Ash of War: Sky Shot,/items/ashes/aow-104.png,Standard,Sky Shot,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Sky Shot: Archery skill performed from a low stance. Ready the bow, then fire an arrow high up into the air, arcing so as to strike the enemy from above when it comes down."" Usable on bows and longbows.",0
aow-105,Ash of War: Rain of Arrows,/items/ashes/aow-105.png,Standard,Rain of Arrows,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Rain of Arrows: Archery skill performed from a low stance. Ready the bow, then fire a burst of arrows into the sky to shower the enemy with projectiles."" Usable on all bows.",0
aow-106,Ash of War: Flame of the Redmanes,/items/ashes/aow-106.png,Fire,Flame of the Redmanes,"This Ash of War grants an armament the Fire affinity and the following skill: ""Flame of the Redmanes: Skill of the Redmanes, who fought alongside General Radahn. Produce a powerful burst of flames in a wide frontward arc."" Usable on all melee armaments.",0
aow-107,Ash of War: Golden Slam,/items/ashes/aow-107.png,Sacred,Golden Slam,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Golden Slam: Skill of the avatars who protect Minor Erdtrees. Jump up high into the air and crash down on the ground ahead. The resulting pratfall sends golden shockwaves in all directions."" Usable on all melee armaments.",0
aow-108,Ash of War: Shared Order,/items/ashes/aow-108.png,Sacred,Shared Order,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Shared Order: Skill of the Golden Order fundamentalist knights. Grant the armament and those of nearby allies holy essence. Highly effective against Those Who Live in Death."" Usable on all melee armaments.",0
aow-109,Ash of War: Cragblade,/items/ashes/aow-109.png,Heavy,Cragblade,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Cragblade: Skill that manipulates gravity. Bury the armament in the ground, pulling rocks from the earth to reinforce it. Increases attack power and makes it easier to break enemy stance."" Usable on melee armaments (whips excepted).",0
aow-110,Ash of War: Barbaric Roar,/items/ashes/aow-110.png,Heavy,Barbaric Roar,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Barbaric Roar: Let loose a bestial roar to rally the spirit and increase attack power. While active, strong attacks change to savage combo attacks."" Usable on melee armaments (daggers, thrusting swords, and whips excepted).",0
aow-111,Ash of War: Troll's Roar,/items/ashes/aow-111.png,Heavy,Troll's Roar,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Troll's Roar: Look into the distance and let out an intense roar, generating a powerful shockwave that blows back surrounding foes. Follow up with a strong attack to slam the armament down."" Usable on large and colossal swords, axes, and hammers.",0
aow-112,Ash of War: Braggart's Roar,/items/ashes/aow-112.png,Heavy,Braggart's Roar,"This Ash of War grants an armament the Heavy affinity and the following skill: ""Braggart's Roar: Declare your presence with a boastful roar. Raises attack power, defense, and stamina recovery speed."" Usable on melee armaments (daggers, thrusting swords, and whips excepted ).",0
aow-113,Ash of War: Holy Ground,/items/ashes/aow-113.png,Sacred,Holy Ground,"This Ash of War grants an armament the Sacred affinity and the following skill: ""Holy Ground: Raise shield to create an Erdtree-consecrated area that continuously restores HP and boosts defense for self and allies inside it."" Usable on all shields.",0
aow-114,Ash of War: Bloodhound's Step,/items/ashes/aow-114.png,Keen,Bloodhound's Step,"This Ash of War grants an armament the Keen affinity and the following skill: ""Bloodhound's Step: Skill that allows the user to become temporarily invisible while dodging at high speed. Moves faster and travels farther than a regular quickstep. This skill can be used to circle around lock-on targets."" Usable on all melee armaments.",0
aow-115,Ash of War: Raptor of the Mists,/items/ashes/aow-115.png,Keen,Raptor of the Mists,"This Ash of War grants an armament the Keen affinity and the following skill: ""Raptor of the Mists: Duck into a low stance, momentarily vanishing. If an enemy attack connects, avian wings will allow for a quick escape into the air."" Usable on all melee armaments.",0
aow-116,Ash of War: White Shadow's Lure,/items/ashes/aow-116.png,Occult,White Shadow's Lure,"This Ash of War grants an armament the Occult affinity and the following skill: ""White Shadow's Lure: Hold armament in a brief, silent prayer to create a white shadow. The apparition lures in foes of human build who are not in combat, drawing their aggression. Effective on demi-humans even if they are already in a combat state."" Usable on all melee armaments.",0
